"","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors"
"SEM_TRATADAS.SI",2.28735347809875,0.0259864921882298,0.437676350687167,0.115025676812084,0.433259791093186,0.00196063892610932,0.0638739365699596,0.247402164930328,0.00130747021036177,0.287575551268247,0.268977519017571,0.364143756256419,9.92869124477677e-05,0.00980644099853411,0.0170660358079991,1.11461223887159e-05,0.000861488633707727,0.0107462635321917,3.53371080133968e-07,0.0324316873970748
"DIST_SURCOS",0.00055415265666985,0.00303074433824021,0.142227601254576,0.003029451761716,0.0126544963311796,9.11535613083504e-05,0.00462789082003822,0.000223589155750318,0.0296934084721791,0.00147584980877156,0.0910686650951568,2.05877214594955e-05,0.00132804595040841,2.08873354550779e-05,0,0.206260720318901,0.00892768925121212,0.0040817558977065,0.00882559995082126,0.00590318338805524
"DIST_PLANTAS",1.61808844257048,0.0265881369840337,0,0.0379377588327999,3.71783900317865e-08,3.64116003201962e-06,0.0669942799008419,0.230112064656368,0.101052665189577,0,0,0.0964708004204295,0.0873467151589716,0,0.0153828481791195,0.253173418790929,8.24906741458472e-05,0.198009349455701,4.16111680687547e-06,0.023044112058333
"CULT_ANT.Maiz",0.117529317314956,0.000578016476191709,0.00122299070171307,5.01130556052911e-05,0.00100972902217199,0.000343926296024468,0.000197586061387214,0.000121890461312421,0.000351950116267791,7.03059998411525e-05,0.0266821981287255,0.0013920887119849,0.000239033952533741,0.0263904388148336,0.0930614618291913,0,0.111420620898631,0.0740778293885637,0.00574822388393308,0.142056925798786
"POBLACION_20DIAS",0.000244580493447549,1.79300156694643e-06,3.34289185178523e-05,7.58339880517989e-07,0.00113616122507148,3.28694300411254e-05,0.00391406361840749,0.000332754352238157,6.00656870892126e-06,0.00158980412096978,0.123577325361287,0.0830329727478877,0.00330278838540661,0.0504468929681014,0.00181256627190924,2.99588321570245e-06,6.5187251936691e-06,0.00134765270840754,0.000676707975001299,0.00827206846086835
"TIPO_MATERIAL.OGM",0.000881291683200081,0.0116413338075064,0.00487674813343414,3.98414198495441e-06,2.05074319466614e-05,0.00170493098171414,0.0107845423758203,1.21349403175064e-05,0.071018974163044,1.75533690903371e-06,0.0159046834310964,0.0180307498266485,0.0128989989277619,0.00501421610410108,0.0234711210027441,5.92632332543495e-05,0.0215287050604416,0.0142389836591076,9.10218031394262e-06,0.381232987431664
"ALMACENAMIENTO_FINCA.NO",0.00476416135110374,0,0.00133776339429018,0.0261789214352679,2.11002791271091e-06,7.58506898561493e-05,0,8.02958861252682e-06,0.62032160018391,1.98967774596882e-05,0.474924241734202,0.000218030669749806,0.0161795883197396,0.00235258545204002,0.0959212006670643,0.000132646515070786,0,0,0.000157562436156065,0.0797496725703266
"ContMalQui",0.0157524988836982,0.00315907403882927,0.0761691903773773,0.0139927933255196,0.0527670931523879,0,0.000360433597528923,0.000728751581039489,0.0180479380012109,0.0075100374071976,0.00941628513538812,0.288199934047184,0.00575539868655189,0.000170608659004171,0.0298247428237371,0.00202464466676085,0.00027047813062243,3.02709239234212e-05,0,0.0130972054449119
"ContPlaQui",0.0574690776533649,0.000217697561926543,4.4341539702473,0,0.011617036163795,0.0257033351652233,0.0857494795369922,0.959830379443665,0.520926722439505,0.209500202219505,2.21327434998666,0.0292490996583036,0.29097041780812,0.129614010462014,0.0702344181999633,0.0663734896130971,1.22274935515648,0.0109872902069616,0.0632844015310875,0.0143313946746812
"CanFerQui",0.983730836901674,0.0320632406340229,0.180841433006072,0.0562856451594304,0.525961045194616,0.00753414710723592,0.0129062524620555,2.47479818724299,0.0135584039498413,0.0158738789380679,0.69607751632004,4.89573748503035,0.322303827555146,0.0985213611819901,0.120900878134953,0.31748961073477,0.318974803189196,0.233472978754426,0.000848608043723141,0.821675623027205
"PENDIENTE",0.00171938645286944,0.000258459606504461,0.224171834017669,1.63069060546884e-05,0.0234564300431773,0.00267305846702273,4.41451739055054e-05,0.000641309301684889,0.0032556470153406,0.00252120230974816,0.0265607303274001,0.000413748006658071,0.00470222014926458,0.00230710978296209,0.000953037466622742,2.24758463876094e-06,0.0631561115074625,9.89438373468029e-05,0.00270683686098237,0.000109764461571784
"PH",4.18729222057657,0.168324286318813,1.33698658182924,0.117156484144313,0.153513725796732,0.0700323627067414,0.136369810131602,2.42995308544217,0.19924409080894,0.0154748637001067,0.186091511402236,1.88594262543095,0.0671038418853507,0.00320219027518203,1.01023916771844,0.95040582235946,0.374606583680182,0.0624201588434401,0.00022604483812152,3.29992082379877
"MAT_ORGANICA.MEDIA",1.87655299485506e-05,0.0012705118682747,0.0338320502699893,3.40527942108768e-05,0.0023953263066445,0.000554190094173718,0.000246787121591456,0.00887363120022005,0,0.00113378123239781,0.00024791596093753,0.0141925708853201,0,1.59061582103225e-05,0.000301349353938985,0.0481630748569203,0.009635027475703,9.03691861595505e-07,8.91256459876961e-07,0
"PROF_EFEC",1.13493573766535,0.113451750129962,0.123140771843786,0.0115663882421533,0.124098875249442,0.00784802472768449,0.688251166573491,0.154807688674485,0.0645252932399758,0.0508350447642847,0.416827573852107,0.0845321214863514,0.216713345176423,0.0114487314186227,0.958698230586484,0.909060488545053,0.0914418064855228,0.00013460525324691,0.000550848617784541,0.196318369819035
"PText.Ar",0.561425260454265,0.0173973412941834,0.160976824191729,0.00778961531689995,0.0153672150051003,0.00537306965653183,0.0233806297630476,0.000299713707484688,0.0479551926236299,0.00690171761992187,0.00680657389055456,0.113158729554095,0.058683954749124,0.024392895251247,0.0282694338206186,0.286551031155628,0.319329712918149,0.0182206276282198,0.00156764614820255,0.111276759716806
"PText.ArA",0.00373656480637166,0.00288795563304311,3.13818914388533,0.00254692303844116,0.0632604263509358,0.0186083724478001,0.00457460249670814,0.177148240274917,0.000883680903394467,0.000744729872210885,0.0163167262417472,0,0.394064502224313,0.0885201468913665,0.152148935622187,2.06061419573143,0.930125896390641,0.440237390697586,0.00578260424700223,0.455365218704205
"PText.F",0.0053601157845136,0.00234157584318997,0.275927008263998,0.00015538104490732,0.0423486423280099,0.0533656374045669,0.0167740951088628,0,0.067907620274373,0.000515563019696063,0.0209758049418649,0.0566920834410922,0.417674741478643,0.0063274150630903,0.594307760462441,1.12608213030126,3.74456712219989,0.302733540673935,0.0051461208253613,0.0496940360817814
"PText.FA",2.8302774236859,0.0203609529419179,1.98831760176925,0.24741792199878,1.61536860539654,0.120229873766586,0.00390124889261896,2.67628771511509,2.6343334812002,0.0138793619155524,0.205684840160811,6.67030224911835,0.118426263233407,0.0336194745056547,0.204948239929554,1.08902019615395,3.38565267484594,2.29588196779651,0.0352710771666913,0.232902283164508
"PText.FAr",3.31028899294864,0.0749680812234493,0.00122282924224204,0.110603797651053,0,0.00319945434852914,0.299516352931455,3.40288696621652,2.75530201885949,7.03813557953674e-05,0.029011751492965,8.9330210905131,1.20927680682754,0.0385651568662096,0.000950271752853122,2.08624685303148,0.111420414624038,0.129470879663548,0.0156770104201604,0.021962884206755
"PText.FrL",0.000611779377659528,0.00180952461519677,0.000261581004318754,0.00118636304183998,0.186479016077065,0.00507026165208181,0.00557869305240798,0.527759586186772,1.04477972923547e-05,0.348104960623485,0.0030299538214631,5.35894776903187,0.624413129514796,0.0204693766414224,8.59344639444928e-05,0.054315958901888,0.000665387175543848,0.462584246474532,7.62560131178794e-05,0.444668737911158
"Temp_Min_Avg_Veg",4.47475979418766,0.0434518577240027,12.55332712042,0.187731868131087,0.774445743537476,0.241135642106118,2.1234088015453,9.30492315795807,38.2083093475655,1.11311394618065,8.76960881701979,18.1099774311958,13.1628336609182,0.571138053918616,3.73002629876202,2.96083899628333,11.7984432923394,6.00807577569009,0.719635330302461,3.29537566506664
"Diurnal_Range_Avg_Veg",0.0994923488138487,3.1284029064429e-06,0.113403476955766,0.00669827746095838,0.00309465711245034,0.0155665059705227,4.15198917946099e-06,0.00558302451745631,0.231968790980049,8.66063782313586e-06,0.0221855252971495,0.00196910068852776,0.000868054409020213,5.31230380536357e-06,0.00335571641261492,9.03546226789144e-06,0.147939774545975,0.30662496928483,0.0108959860937126,0.000510663805255236
"Rhum_sd_For",0.000667919203394377,4.03871608357251e-06,0.00694862333519476,0.00163194795040828,0.00283634501046141,0.000811363633384346,0.0996280746500859,0.187117753019094,0.0913356183565996,0.01900277703418,0.171609948731907,0.09439331982067,0.819648038682765,0.0407001454542997,0.00633809873814431,0.593590635612662,2.56780225524638e-05,0.0621451009721074,0.111053322340351,0.0228046038034129
"Temp_Min_Avg_Mad",6.70949681920335e-05,1.21501641371629e-06,0.635271995221606,0.000308268432968135,0.032838819884839,0.00217107878257759,0.00100007838314615,0.0118860431831794,0.767857955094629,0.00579779072007748,0.59015107784892,0.0500542918654985,0.000655886471531971,0.017954750201488,0.00817194831514163,0.00683307647113581,0.15217107809977,0.000136667178050549,0.221553535199783,0.000362905180219495
"Sol_Ener_Accu_Mad",1.12447101972771,0.000340419486710961,0.207898572229767,0.00807450054959189,0.0713536677526523,0.0101114346006033,0.0301022592834819,0.000125154348245665,0.000518344256028559,0.322717322609955,3.33525943744338,0.0404439557566377,0.356251368039514,0.0536490824200359,0.0342526723888803,0.311529626780539,0.0786183155477023,6.93397861945144e-05,0.00509523841183977,0.00125648797550192
"Rhum_sd_Mad",0.00963511057397577,0.000686214498228496,0.000649079134519079,1.5367742812233e-05,2.52400353833646e-06,6.08465224865963e-05,1.83754147046812e-05,0.0943266592067593,0.00666071873483213,0.0040446927089315,0.265120759833495,0.413588658425313,0.141490955969954,0.0376237319841211,0.0843831251932248,0.0603345673522673,0.000273826279656897,0.0382194233472597,0.000166460187870482,0.336569470049914
"TotN",0.337778186048433,0.00686311422014352,0.0281518266237703,0.00051929578040878,0.00246721951047834,0.00760651537177123,0.00682672765282827,4.06456487023048,0.000252391491653225,0.000905961227479184,0.00942290638325424,0.168871039195852,0.0440022804514333,0.0525747812209148,0.0405770186211563,0.207042879046669,0.166618723851943,0.256065386594812,0.000103597925038592,0.143121652869053
"Totp",0,0.00333287056111227,0.345266058204376,0.00128263475914548,0.0836713287706629,0.00547170033041075,7.67149744314353e-05,0.00144580685825346,0.000172587544572982,0.00843506629000769,0.807809978693307,0.470285769153992,0.301683593781041,0.031540302790671,0.118060885815436,0.00221811631823267,2.11907178879996e-05,1.29509614683962e-05,5.47209801678816e-06,0.169590737192659
"Totk",0.786129263883477,0.0523263592819492,1.35907999515294,0.0139196430932126,0.222002068839619,0.000112709686461134,0.0012664780284355,0.230979405351902,0.148111940053729,0.0124490282848482,0.474720498814647,1.08326986268226,0.0136668296992178,0.00556860174022716,0.0088432346229373,0.269200608669076,0.192558990760056,0.00130794306956653,0.0923536044570167,0.0165518414025131
